subj,month,Total.words,Log.Totalwords
01,06,0,0.0
01,07,0,0.0
01,08,0,0.0
01,09,0,0.0
01,10,0,0.0
01,11,6,1.9459101490553132
01,12,14,2.70805020110221
01,13,77,4.356708826689592
01,14,145,4.983606621708336
01,15,226,5.424950017481403
01,16,288,5.666426688112432
01,17,372,5.921578419643816
01,18,378,5.937536205082426
02,06,0,0.0
02,07,1,0.6931471805599453
02,08,1,0.6931471805599453
02,09,1,0.6931471805599453
02,10,3,1.3862943611198906
02,11,9,2.302585092994046
02,12,17,2.8903717578961645
02,13,27,3.332204510175204
02,14,32,3.4965075614664802
02,15,76,4.343805421853684
02,16,125,4.836281906951478
02,17,184,5.220355825078324
02,18,223,5.4116460518550396
03,06,0,0.0
03,07,0,0.0
03,08,0,0.0
03,09,0,0.0
03,10,0,0.0
03,11,0,0.0
03,12,0,0.0
03,13,0,0.0
03,14,0,0.0
03,15,4,1.6094379124341003
03,16,12,2.5649493574615367
03,17,27,3.332204510175204
03,18,32,3.4965075614664802
04,06,0,0.0
04,07,1,0.6931471805599453
04,08,1,0.6931471805599453
04,09,1,0.6931471805599453
04,10,2,1.0986122886681098
04,11,2,1.0986122886681098
04,12,2,1.0986122886681098
04,13,3,1.3862943611198906
04,14,5,1.791759469228055
04,15,5,1.791759469228055
04,16,5,1.791759469228055
04,17,5,1.791759469228055
04,18,5,1.791759469228055
06,06,0,0.0
06,07,0,0.0
06,08,0,0.0
06,09,0,0.0
06,10,0,0.0
06,11,0,0.0
06,12,2,1.0986122886681098
06,13,2,1.0986122886681098
06,14,6,1.9459101490553132
06,15,14,2.70805020110221
06,16,17,2.8903717578961645
06,17,26,3.295836866004329
06,18,29,3.4011973816621555
07,06,0,0.0
07,07,1,0.6931471805599453
07,08,2,1.0986122886681098
07,09,2,1.0986122886681098
07,10,2,1.0986122886681098
07,11,2,1.0986122886681098
07,12,2,1.0986122886681098
07,13,4,1.6094379124341003
07,14,16,2.833213344056216
07,15,24,3.2188758248682006
07,16,28,3.367295829986474
07,17,33,3.5263605246161616
07,18,40,3.713572066704308
08,06,0,0.0
08,07,2,1.0986122886681098
08,08,2,1.0986122886681098
08,09,4,1.6094379124341003
08,10,10,2.3978952727983707
08,11,16,2.833213344056216
08,12,22,3.1354942159291497
08,13,38,3.6635616461296463
08,14,77,4.356708826689592
08,15,110,4.709530201312334
08,16,143,4.969813299576001
08,17,191,5.2574953720277815
08,18,232,5.4510384535657
09,06,0,0.0
09,07,0,0.0
09,08,0,0.0
09,09,0,0.0
09,10,0,0.0
09,11,0,0.0
09,12,2,1.0986122886681098
09,13,8,2.1972245773362196
09,14,32,3.4965075614664802
09,15,37,3.6375861597263857
09,16,40,3.713572066704308
09,17,63,4.1588830833596715
09,18,88,4.48863636973214
10,06,0,0.0
10,07,0,0.0
10,08,0,0.0
10,09,2,1.0986122886681098
10,10,2,1.0986122886681098
10,11,3,1.3862943611198906
10,12,6,1.9459101490553132
10,13,12,2.5649493574615367
10,14,17,2.8903717578961645
10,15,22,3.1354942159291497
10,16,33,3.5263605246161616
10,17,48,3.8918202981106265
10,18,74,4.31748811353631
11,06,0,0.0
11,07,0,0.0
11,08,0,0.0
11,09,0,0.0
11,10,0,0.0
11,11,1,0.6931471805599453
11,12,1,0.6931471805599453
11,13,1,0.6931471805599453
11,14,1,0.6931471805599453
11,15,5,1.791759469228055
11,16,10,2.3978952727983707
11,17,20,3.044522437723423
11,18,18,2.9444389791664403
12,06,0,0.0
12,07,2,1.0986122886681098
12,08,5,1.791759469228055
12,09,8,2.1972245773362196
12,10,10,2.3978952727983707
12,11,11,2.4849066497880004
12,12,22,3.1354942159291497
12,13,50,3.9318256327243257
12,14,66,4.204692619390966
12,15,69,4.248495242049359
12,16,92,4.532599493153256
12,17,120,4.795790545596741
12,18,94,4.553876891600541
13,06,0,0.0
13,07,0,0.0
13,08,0,0.0
13,09,0,0.0
13,10,0,0.0
13,11,1,0.6931471805599453
13,12,1,0.6931471805599453
13,13,1,0.6931471805599453
13,14,7,2.0794415416798357
13,15,9,2.302585092994046
13,16,19,2.995732273553991
13,17,24,3.2188758248682006
13,18,28,3.367295829986474
14,06,0,0.0
14,07,0,0.0
14,08,0,0.0
14,09,0,0.0
14,10,0,0.0
14,11,0,0.0
14,12,1,0.6931471805599453
14,13,2,1.0986122886681098
14,14,2,1.0986122886681098
14,15,3,1.3862943611198906
14,16,9,2.302585092994046
14,17,38,3.6635616461296463
14,18,39,3.6888794541139363
15,06,0,0.0
15,07,0,0.0
15,08,0,0.0
15,09,NA,NA
15,10,0,0.0
15,11,0,0.0
15,12,0,0.0
15,13,1,0.6931471805599453
15,14,NA,NA
15,15,NA,NA
15,16,7,2.0794415416798357
15,17,NA,NA
15,18,17,2.8903717578961645
16,06,0,0.0
16,07,0,0.0
16,08,0,0.0
16,09,0,0.0
16,10,0,0.0
16,11,0,0.0
16,12,0,0.0
16,13,4,1.6094379124341003
16,14,5,1.791759469228055
16,15,9,2.302585092994046
16,16,10,2.3978952727983707
16,17,12,2.5649493574615367
16,18,24,3.2188758248682006
17,06,0,0.0
17,07,0,0.0
17,08,0,0.0
17,09,0,0.0
17,10,0,0.0
17,11,3,1.3862943611198906
17,12,7,2.0794415416798357
17,13,7,2.0794415416798357
17,14,15,2.772588722239781
17,15,20,3.044522437723423
