subj,month,sex,MOTedu,MOTedulevel,MOTage,PVT.ED,PVT.score,MOTwork,MOTworkhours,FATwork,FATworkhours,SibsYN,Siblings,Siblings18,SibGroup,SibsDiscrete,Total.words,Log.Totalwords
01,06,F,Masters Degree,5,33,22,119.5,Part-time,30,Full-time,50,Y,1.0,1.0,One,One,0,0.0
01,07,F,Masters Degree,5,33,22,119.5,Part-time,30,Full-time,50,Y,1.0,1.0,One,One,0,0.0
01,08,F,Masters Degree,5,33,22,119.5,Part-time,30,Full-time,50,Y,1.0,1.0,One,One,0,0.0
01,09,F,Masters Degree,5,33,22,119.5,Part-time,30,Full-time,50,Y,1.0,1.0,One,One,0,0.0
01,10,F,Masters Degree,5,33,22,119.5,Part-time,30,Full-time,50,Y,1.0,1.0,One,One,0,0.0
01,11,F,Masters Degree,5,33,22,119.5,Part-time,30,Full-time,50,Y,1.0,1.0,One,One,6,1.9459101490553132
01,12,F,Masters Degree,5,33,22,119.5,Part-time,30,Full-time,50,Y,1.0,1.0,One,One,14,2.70805020110221
01,13,F,Masters Degree,5,33,22,119.5,Part-time,30,Full-time,50,Y,1.0,1.0,One,One,77,4.356708826689592
01,14,F,Masters Degree,5,33,22,119.5,Part-time,30,Full-time,50,Y,1.0,1.0,One,One,145,4.983606621708336
01,15,F,Masters Degree,5,33,22,119.5,Part-time,30,Full-time,50,Y,1.0,1.0,One,One,226,5.424950017481403
01,16,F,Masters Degree,5,33,22,119.5,Part-time,30,Full-time,50,Y,1.0,1.0,One,One,288,5.666426688112432
01,17,F,Masters Degree,5,33,22,119.5,Part-time,30,Full-time,50,Y,1.0,1.0,One,One,372,5.921578419643816
01,18,F,Masters Degree,5,33,22,119.5,Part-time,30,Full-time,50,Y,1.0,1.0,One,One,378,5.937536205082426
02,06,M,Masters Degree,5,33,22,116.4,Home,0,Full-time,40,Y,1.0,1.0,One,One,0,0.0
02,07,M,Masters Degree,5,33,22,116.4,Home,0,Full-time,40,Y,1.0,1.0,One,One,1,0.6931471805599453
02,08,M,Masters Degree,5,33,22,116.4,Home,0,Full-time,40,Y,1.0,1.0,One,One,1,0.6931471805599453
02,09,M,Masters Degree,5,33,22,116.4,Home,0,Full-time,40,Y,1.0,1.0,One,One,1,0.6931471805599453
02,10,M,Masters Degree,5,33,22,116.4,Home,0,Full-time,40,Y,1.0,1.0,One,One,3,1.3862943611198906
02,11,M,Masters Degree,5,33,22,116.4,Home,0,Full-time,40,Y,1.0,1.0,One,One,9,2.302585092994046
02,12,M,Masters Degree,5,33,22,116.4,Home,0,Full-time,40,Y,1.0,1.0,One,One,17,2.8903717578961645
02,13,M,Masters Degree,5,33,22,116.4,Home,0,Full-time,40,Y,1.0,1.0,One,One,27,3.332204510175204
02,14,M,Masters Degree,5,33,22,116.4,Home,0,Full-time,40,Y,1.0,1.0,One,One,32,3.4965075614664802
02,15,M,Masters Degree,5,33,22,116.4,Home,0,Full-time,40,Y,1.0,1.0,One,One,76,4.343805421853684
02,16,M,Masters Degree,5,33,22,116.4,Home,0,Full-time,40,Y,1.0,1.0,One,One,125,4.836281906951478
02,17,M,Masters Degree,5,33,22,116.4,Home,0,Full-time,40,Y,1.0,1.0,One,One,184,5.220355825078324
02,18,M,Masters Degree,5,33,22,116.4,Home,0,Full-time,40,Y,1.0,1.0,One,One,223,5.4116460518550396
03,06,M,Bachelors Degree,4,32,21,108.5,Home,0,Full-time,40,Y,1.0,1.0,One,One,0,0.0
03,07,M,Bachelors Degree,4,32,21,108.5,Home,0,Full-time,40,Y,1.0,1.0,One,One,0,0.0
03,08,M,Bachelors Degree,4,32,21,108.5,Home,0,Full-time,40,Y,1.0,1.0,One,One,0,0.0
03,09,M,Bachelors Degree,4,32,21,108.5,Home,0,Full-time,40,Y,1.0,1.0,One,One,0,0.0
03,10,M,Bachelors Degree,4,32,21,108.5,Home,0,Full-time,40,Y,1.0,1.0,One,One,0,0.0
03,11,M,Bachelors Degree,4,32,21,108.5,Home,0,Full-time,40,Y,1.0,1.0,One,One,0,0.0
03,12,M,Bachelors Degree,4,32,21,108.5,Home,0,Full-time,40,Y,1.0,1.0,One,One,0,0.0
03,13,M,Bachelors Degree,4,32,21,108.5,Home,0,Full-time,40,Y,1.0,1.0,One,One,0,0.0
