subj,month,n,PC,sex,MOTedu,MOTwork,MOTworkhours,FATwork,FATworkhours,Siblings18,Siblings,SibsYN,SibGroup,SibsDiscrete,MOTedulevel,MOTage,PVT.ED,PVT.score,Log.n
01,06,67,0.5583333333333333,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.219507705176107
01,07,78,0.8041237113402062,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.3694478524670215
01,08,269,0.6741854636591479,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,5.598421958998375
01,09,59,0.7195121951219512,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.0943445622221
01,10,108,0.47368421052631576,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.6913478822291435
01,11,46,0.4339622641509434,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,3.8501476017100584
01,12,98,0.4474885844748858,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.59511985013459
01,13,166,0.6775510204081633,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,5.117993812416755
01,14,52,0.5714285714285714,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,3.970291913552122
01,15,126,0.5294117647058824,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.844187086458591
01,16,27,0.2076923076923077,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,3.332204510175204
01,17,150,0.5319148936170213,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,5.017279836814924
02,06,33,0.5689655172413793,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,3.5263605246161616
02,07,31,0.6595744680851063,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,3.4657359027997265
02,08,102,0.4857142857142857,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,4.634728988229636
02,09,95,0.7037037037037037,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,4.564348191467836
02,10,119,0.5613207547169812,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,4.787491742782046
02,11,111,0.5162790697674419,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,4.718498871295094
02,12,138,0.6831683168316832,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,4.9344739331306915
02,13,125,0.8445945945945946,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,4.836281906951478
02,14,116,0.6744186046511628,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,4.762173934797756
02,15,208,0.6709677419354839,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,5.342334251964811
02,16,186,0.6813186813186813,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,5.231108616854587
02,17,158,0.7314814814814815,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,5.0689042022202315
