subj,month,Speaker,n,PC,sex,MOTedu,MOTwork,MOTworkhours,FATwork,FATworkhours,Siblings18,Siblings,SibsYN,SibGroup,SibsDiscrete,MOTedulevel,MOTage,PVT.ED,PVT.score,Log.n
01,06,MOT,112.0,0.9333333333333333,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.727387818712341
01,07,MOT,94.0,0.9690721649484536,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.553876891600541
01,08,MOT,397.0,0.9949874686716792,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,5.986452005284438
01,09,MOT,82.0,1.0,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.418840607796598
01,10,MOT,212.0,0.9298245614035088,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,5.3612921657094255
01,11,MOT,94.0,0.8867924528301887,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.553876891600541
01,12,MOT,186.0,0.8493150684931506,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,5.231108616854587
01,13,MOT,176.0,0.7183673469387755,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,5.176149732573829
01,14,MOT,85.0,0.9340659340659341,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.454347296253507
01,15,MOT,215.0,0.9033613445378151,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,5.375278407684165
01,16,MOT,103.0,0.7923076923076923,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.6443908991413725
