subj,month,sex,MOTedulevel,age_mom,PVTscore,SibsYN,Siblings6,Siblings18,SibGroup6,SibGroup18,Total.words,Log.Totalwords,tokens_video,types_video,tokens_audio,types_audio,Log.tokens_video,Log.types_video,Log.tokens_audio,Log.types_audio
794,06,F,5,33,119.5,Y,1,1,One,One,0,0,0,0,0,0,0,0,0,0
794,07,F,5,33,119.5,Y,1,1,One,One,0,0,0,0,0,0,0,0,0,0
794,08,F,5,33,119.5,Y,1,1,One,One,0,0,0,0,0,0,0,0,0,0
794,09,F,5,33,119.5,Y,1,1,One,One,0,0,0,0,0,0,0,0,0,0
794,10,F,5,33,119.5,Y,1,1,One,One,0,0,0,0,0,0,0,0,0,0
794,11,F,5,33,119.5,Y,1,1,One,One,6,1.9459101490553132,0,0,0,0,0,0,0,0
794,12,F,5,33,119.5,Y,1,1,One,One,14,2.70805020110221,2,1,30,3,1.0986122886681098,0.6931471805599453,3.4339872044851463,1.3862943611198906
794,13,F,5,33,119.5,Y,1,1,One,One,77,4.356708826689592,24,7,59,6,3.2188758248682006,2.0794415416798357,4.0943445622221,1.9459101490553132
794,14,F,5,33,119.5,Y,1,1,One,One,145,4.983606621708336,5,5,24,6,1.791759469228055,1.791759469228055,3.2188758248682006,1.9459101490553132
794,15,F,5,33,119.5,Y,1,1,One,One,226,5.424950017481403,14,8,15,10,2.70805020110221,2.1972245773362196,2.772588722239781,2.3978952727983707
794,16,F,5,33,119.5,Y,1,1,One,One,288,5.666426688112432,25,9,60,13,3.258096538021482,2.302585092994046,4.110873864173311,2.6390573296152584
794,17,F,5,33,119.5,Y,1,1,One,One,372,5.921578419643816,64,21,163,44,4.174387269895637,3.091042453358316,5.099866427824199,3.8066624897703196
794,18,F,5,33,119.5,Y,1,1,One,One,378,5.937536205082426,NA,NA,NA,NA,NA,NA,NA,NA
294,06,M,5,33,116.4,Y,1,1,One,One,0,0,0,0,0,0,0,0,0,0
294,07,M,5,33,116.4,Y,1,1,One,One,1,0.6931471805599453,0,0,0,0,0,0,0,0
294,08,M,5,33,116.4,Y,1,1,One,One,1,0.6931471805599453,0,0,0,0,0,0,0,0
294,09,M,5,33,116.4,Y,1,1,One,One,1,0.6931471805599453,0,0,0,0,0,0,0,0
294,10,M,5,33,116.4,Y,1,1,One,One,3,1.3862943611198906,0,0,0,0,0,0,0,0
294,11,M,5,33,116.4,Y,1,1,One,One,9,2.302585092994046,0,0,8,2,0,0,2.1972245773362196,1.0986122886681098
294,12,M,5,33,116.4,Y,1,1,One,One,17,2.8903717578961645,26,1,0,0,3.295836866004329,0.6931471805599453,0,0
294,13,M,5,33,116.4,Y,1,1,One,One,27,3.332204510175204,9,2,8,1,2.302585092994046,1.0986122886681098,2.1972245773362196,0.6931471805599453
294,14,M,5,33,116.4,Y,1,1,One,One,32,3.4965075614664802,1,1,0,0,0.6931471805599453,0.6931471805599453,0,0
294,15,M,5,33,116.4,Y,1,1,One,One,76,4.343805421853684,7,2,4,1,2.0794415416798357,1.0986122886681098,1.6094379124341003,0.6931471805599453
294,16,M,5,33,116.4,Y,1,1,One,One,125,4.836281906951478,30,11,20,6,3.4339872044851463,2.4849066497880004,3.044522437723423,1.9459101490553132
294,17,M,5,33,116.4,Y,1,1,One,One,184,5.220355825078324,16,8,70,15,2.833213344056216,2.1972245773362196,4.2626798770413155,2.772588722239781
294,18,M,5,33,116.4,Y,1,1,One,One,223,5.4116460518550396,NA,NA,NA,NA,NA,NA,NA,NA
126,06,M,4,32,108.5,Y,1,1,One,One,0,0,0,0,0,0,0,0,0,0
126,07,M,4,32,108.5,Y,1,1,One,One,0,0,0,0,0,0,0,0,0,0
126,08,M,4,32,108.5,Y,1,1,One,One,0,0,0,0,0,0,0,0,0,0
126,09,M,4,32,108.5,Y,1,1,One,One,0,0,0,0,0,0,0,0,0,0
126,10,M,4,32,108.5,Y,1,1,One,One,0,0,0,0,0,0,0,0,0,0
126,11,M,4,32,108.5,Y,1,1,One,One,0,0,4,2,0,0,1.6094379124341003,1.0986122886681098,0,0
126,12,M,4,32,108.5,Y,1,1,One,One,0,0,0,0,0,0,0,0,0,0
126,13,M,4,32,108.5,Y,1,1,One,One,0,0,0,0,0,0,0,0,0,0
126,14,M,4,32,108.5,Y,1,1,One,One,0,0,0,0,3,2,0,0,1.3862943611198906,1.0986122886681098
126,15,M,4,32,108.5,Y,1,1,One,One,4,1.6094379124341003,0,0,0,0,0,0,0,0
126,16,M,4,32,108.5,Y,1,1,One,One,12,2.5649493574615367,1,1,33,3,0.6931471805599453,0.6931471805599453,3.5263605246161616,1.3862943611198906
126,17,M,4,32,108.5,Y,1,1,One,One,27,3.332204510175204,17,2,0,0,2.8903717578961645,1.0986122886681098,0,0
126,18,M,4,32,108.5,Y,1,1,One,One,32,3.4965075614664802,NA,NA,NA,NA,NA,NA,NA,NA
255,06,M,2,35,117.2,Y,4,4,2+,2+,0,0,0,0,0,0,0,0,0,0
