basic_level,in_cdi,CDIform,object
meerkat,FALSE,NA,meerkat
parsley,FALSE,NA,parsley
the+new+baby,TRUE,baby,the+new+baby
delivery+man,TRUE,man,delivery+man
the+pigeon+finds+a+hot+dog,FALSE,NA,the+pigeon+finds+a+hot+dog
dont+let+the+pigeon+drive+the+bus,FALSE,NA,dont+let+the+pigeon+drive+the+bus
dino+suit,FALSE,NA,dino+suit
shampoo,FALSE,NA,shampoo
flyer,FALSE,NA,flyer
tarzan,FALSE,NA,tarzan
loveseat,FALSE,NA,loveseat
sam,FALSE,NA,sam
ladybug+girl,TRUE,girl,ladybug+girl
lulu,FALSE,NA,lulu
stinger,FALSE,NA,stinger
bumblebee+boy,TRUE,boy,bumblebee+boy
kiki,FALSE,NA,kiki
marley,FALSE,NA,marley
butterfly+girl,TRUE,girl,butterfly+girl
dragonfly+girl,TRUE,girl,dragonfly+girl
my+friends,FALSE,NA,my+friends
active+baby+healthy+brain,FALSE,NA,active+baby+healthy+brain
litter+box,TRUE,box,litter+box
boxers,FALSE,NA,boxers
the+book+of+animals,TRUE,animal,the+book+of+animals
meera,FALSE,NA,meera
manger,FALSE,NA,manger
joseph,FALSE,NA,joseph
elliptical,FALSE,NA,elliptical
hip+flexor,FALSE,NA,hip+flexor
riesling,FALSE,NA,riesling
taters,FALSE,NA,taters
bra,FALSE,NA,bra
toothpick+holder,FALSE,NA,toothpick+holder
crusts,FALSE,NA,crusts
snowmen+at+christmas,FALSE,NA,snowmen+at+christmas
sweets,FALSE,NA,sweets
constellation,FALSE,NA,constellation
smores,FALSE,NA,smores
marshmallow,FALSE,NA,marshmallow
shadow,FALSE,NA,shadow
listen+to+the+wind+the+story+of+dr+greg+and+three+cups+of+tea,FALSE,NA,listen+to+the+wind+the+story+of+dr+greg+and+three+cups+of+tea
dr+greg,FALSE,NA,dr+greg
haji+ali,FALSE,NA,haji+ali
lumber,FALSE,NA,lumber
sher+takhi,FALSE,NA,sher+takhi
hussein,FALSE,NA,hussein
julia,FALSE,NA,julia
leggings,FALSE,NA,leggings
i+stink,FALSE,NA,i+stink
piston,FALSE,NA,piston
blade,FALSE,NA,blade
apple+cores,TRUE,apple,apple+cores
diaperna,FALSE,NA,diaperna
eggshell,TRUE,egg,eggshell
radishes,FALSE,NA,radishes
rind,FALSE,NA,rind
yams,FALSE,NA,yams
im+dirty,TRUE,dirty,im+dirty
barbecue,FALSE,NA,barbecue
toilet+seat,FALSE,NA,toilet+seat
sprinkles,FALSE,NA,sprinkles
wash,TRUE,wash,wash
happy+hippo+angry+duck,FALSE,NA,happy+hippo+angry+duck
if+you+give+a+donkey+a+carrot,FALSE,NA,if+you+give+a+donkey+a+carrot
muffin+mix,FALSE,NA,muffin+mix
moby,FALSE,NA,moby
eyelid,FALSE,NA,eyelid
snubbulls,FALSE,NA,snubbulls
baby+armor,TRUE,baby,baby+armor
fridgerator,FALSE,NA,fridgerator
voice+box,FALSE,NA,voice+box
kamut,FALSE,NA,kamut
vegetables,FALSE,NA,vegetables
just+me+and+my+mom,TRUE,mommy,just+me+and+my+mom
stranger+danger,FALSE,NA,stranger+danger
the+wheels+on+the+bus,TRUE,bus,the+wheels+on+the+bus
baked+ziti,FALSE,NA,baked+ziti
wraps,FALSE,NA,wraps
perfume,FALSE,NA,perfume
beggar,FALSE,NA,beggar
woodcutter,FALSE,NA,woodcutter
mantle,FALSE,NA,mantle
faucet,FALSE,NA,faucet
goldilocks,FALSE,NA,goldilocks
liner,FALSE,NA,liner
organizer,FALSE,NA,organizer
mommy+hugs,TRUE,mommy,mommy+hugs
sweet+dreams+roo,FALSE,NA,sweet+dreams+roo
kanga,FALSE,NA,kanga
olivia,FALSE,NA,olivia
nosefrida,FALSE,NA,nosefrida
readings+in+ancient+greek+philosophy+from+thales+to+aristotle,FALSE,NA,readings+in+ancient+greek+philosophy+from+thales+to+aristotle
ginger,FALSE,NA,ginger
feta,FALSE,NA,feta
saline,FALSE,NA,saline
licorice,FALSE,NA,licorice
chamomile,FALSE,NA,chamomile
rib,FALSE,NA,rib
mr+wuffles,FALSE,NA,mr+wuffles
time+for+bed,TRUE,bed,time+for+bed
paddington,FALSE,NA,paddington
north+face,FALSE,NA,north+face
night+cap,FALSE,NA,night+cap
jam+jams,TRUE,pajamas,jam+jams
cyborg,FALSE,NA,cyborg
oaties,FALSE,NA,oaties
bassinet,FALSE,NA,bassinet
moisturizer,FALSE,NA,moisturizer
deodorant,FALSE,NA,deodorant
llama+llama+misses+mama,FALSE,NA,llama+llama+misses+mama
cat+the+cat+who+is+that,TRUE,cat,cat+the+cat+who+is+that
blargie+blargie,FALSE,NA,blargie+blargie
bugs,TRUE,bug,bugs
what+shape+am+i,FALSE,NA,what+shape+am+i
soup+mix,FALSE,NA,soup+mix
sliders,FALSE,NA,sliders
breadcrumbs,FALSE,NA,breadcrumbs
skillet,FALSE,NA,skillet
