subj,numtokens,numtypes,numtokens_chi,numtypes_chi,SibGroup,CDI
109,4131,527,141,22,None,82
126,3415,599,58,8,One,32
129,7130,925,82,22,One,56
151,2552,546,5,3,2+,NA
168,3663,696,13,4,2+,5
172,2622,506,1,1,2+,2
189,2507,434,40,6,None,73
220,3353,577,230,17,None,19
255,5010,746,0,0,2+,5
268,2474,418,49,23,None,75
274,4421,652,26,5,None,88
279,4448,686,78,23,One,39
288,2554,513,13,2,One,7
294,5381,768,199,31,One,223
309,4763,731,23,8,None,18
342,2955,507,33,13,None,NA
357,4212,720,8,3,None,40
375,3004,529,24,4,2+,20
378,10087,968,698,116,None,166
424,7203,721,84,16,One,NA
465,4681,621,130,17,None,29
515,4306,729,8,4,One,51
518,4247,689,79,18,One,35
521,6207,709,726,112,None,232
563,2851,454,488,16,2+,14
575,1157,283,2,2,None,0
623,3119,406,281,8,2+,28
625,4263,639,175,29,None,NA
626,4600,650,102,8,2+,17
639,4428,594,22,13,None,5
664,7061,889,180,18,None,24
737,3245,549,21,9,One,22
738,9430,1026,121,19,None,22
749,6119,714,309,50,None,94
794,5817,773,485,101,One,378
828,6860,801,96,13,One,74
860,4217,623,52,13,One,102
861,7249,770,80,12,None,24
893,2591,519,62,6,2+,NA
926,5981,727,61,11,None,69
944,5999,682,5,4,None,NA
950,4815,691,0,0,None,0
986,3292,553,31,13,One,NA
