subj,sex,MOTedu,MOTwork,MOTworkhours,FATwork,FATworkhours,Siblings18,Siblings,SibsYN,SibGroup,SibsDiscrete,MOTedulevel,MOTage,PVT.ED,PVT.score
01,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5
02,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4
03,M,Bachelors Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,4,32,21,108.5
04,M,Some college,Home,0,Full-time,40,4.0,4.0,Y,2+,Four,2,35,25,117.2
06,F,Masters Degree,Full-time,40,Full-time,40,1.0,0.0,N,None,None,5,33,22,120.4
07,M,Masters Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,5,30,22,114.4
08,F,Masters Degree,Full-time,40,Other,NA,0.0,0.0,N,None,None,5,32,22,118.6
09,M,Bachelors Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,4,34,21,110.9
10,F,Doctorate,Part-time,24,Full-time,60,1.0,1.0,Y,One,One,6,32,24,112.8
11,M,Masters Degree,Full-time,30,Full-time,40,0.0,0.0,N,None,None,5,31,22,116.1
12,M,Assoc Degree,Part-time,20,Full-time,40,0.0,0.0,N,None,None,3,35,20,106.6
13,M,Doctorate,Part-time,30,Full-time,50,2.0,2.0,Y,2+,Two,6,36,23,123.6
14,F,Bachelors Degree,Home,0,Full-time,45,1.0,1.0,Y,One,One,4,37,21,111.4
15,M,Bachelors Degree,Home,0,Full-time,50,2.0,2.0,Y,2+,Two,4,42,21,116.1
16,M,Masters Degree,Full-time,40,Full-time,60,0.0,0.0,N,None,None,5,34,22,112.8
17,F,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,35,22,119.2
18,M,Assoc Degree,Full-time,40,Full-time,40,1.0,1.0,Y,One,One,3,37,24,117.1
19,F,Bachelors Degree,Part-time,6,Full-time,40,0.0,0.0,N,None,None,4,28,21,120.1
20,F,Assoc Degree,Part-time,25,Other,0,0.0,0.0,N,None,None,3,29,20,105.5
21,M,Masters Degree,Full-time,30,Full-time,50,0.0,0.0,N,None,None,5,33,22,111.4
22,F,Bachelors Degree,Part-time,21,Full-time,40,0.0,0.0,N,None,None,4,35,21,110.8
23,M,Assoc Degree,Full-time,45,Full-time,40,4.0,4.0,Y,2+,Four,3,34,20,111.5
25,M,Bachelors Degree,Part-time,20,Full-time,40,0.0,0.0,N,None,None,4,27,21,106.0
26,F,Assoc Degree,Part-time,16,Full-time,40,1.0,1.0,Y,One,One,3,31,20,106.5
27,M,Doctorate,Full-time,35,Home,0,0.0,0.0,N,None,None,6,42,24,121.2
28,F,Masters Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,5,32,22,108.6
29,F,Bachelors Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,4,35,21,111.6
30,M,Masters Degree,Full-time,40,Other,0,0.0,0.0,N,None,None,5,38,22,126.5
31,F,Masters Degree,Full-time,40,Home,0,1.0,1.0,Y,One,One,5,35,22,121.4
32,F,Masters Degree,Full-time,40,Full-time,40,2.0,2.0,Y,2+,Two,5,32,22,121.4
33,M,Masters Degree,Home,0,Full-time,50,0.0,0.0,N,None,None,5,35,22,111.8
34,M,Assoc Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,3,33,20,107.3
35,F,Some college,Home,0,Full-time,40,0.0,0.0,N,None,None,2,34,25,126.7
36,F,Masters Degree,Full-time,40,Full-time,50,3.0,3.0,Y,2+,Three,5,37,22,122.7
37,M,Bachelors Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,4,31,21,113.9
38,F,Doctorate,Full-time,40,Full-time,40,1.0,1.0,Y,One,One,6,35,24,109.9
39,F,Some college,Home,0,Full-time,45,2.0,2.0,Y,2+,Two,2,28,25,111.0
40,M,Masters Degree,Home,0,Full-time,50,2.0,2.0,Y,2+,Two,5,34,22,117.8
41,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,41,22,102.2
42,F,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,41,22,102.2
43,F,High School,Home,0,Full-time,40,0.0,0.0,N,None,None,1,23,16,113.2
44,F,Assoc Degree,Home,0,Full-time,40,3.0,3.0,Y,2+,Three,3,37,25,98.0
45,M,Bachelors Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,4,27,28,110.9
46,M,Bachelors Degree,Part-time,16,Other,NA,0.0,0.0,N,None,None,4,31,21,118.1
