subj,month,Type,n,PC,sex,MOTedu,MOTwork,MOTworkhours,FATwork,FATworkhours,Siblings18,Siblings,SibsYN,SibGroup,SibsDiscrete,MOTedulevel,MOTage,PVT.ED,PVT.score,Log.n,JE
01,06,d,47.0,0.39166666666666666,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,3.871201010907891,FALSE
01,07,d,17.0,0.17525773195876287,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,2.8903717578961645,FALSE
01,08,d,53.0,0.13283208020050125,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,3.9889840465642745,FALSE
01,09,d,20.0,0.24390243902439024,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,3.044522437723423,FALSE
01,10,d,93.0,0.40789473684210525,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.543294782270004,FALSE
01,11,d,45.0,0.42452830188679247,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,3.828641396489095,FALSE
01,12,d,76.0,0.3470319634703196,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.343805421853684,FALSE
01,13,d,90.0,0.3673469387755102,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.51085950651685,FALSE
01,14,d,42.0,0.46153846153846156,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,3.7612001156935624,FALSE
01,15,d,60.0,0.25210084033613445,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.110873864173311,FALSE
01,16,d,62.0,0.47692307692307695,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.143134726391533,FALSE
01,17,d,72.0,0.2553191489361702,F,Masters Degree,Part-time,30,Full-time,50,1.0,1.0,Y,One,One,5,33,22,119.5,4.290459441148391,FALSE
02,06,d,29.0,0.5,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,3.4011973816621555,FALSE
02,07,d,18.0,0.3829787234042553,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,2.9444389791664403,FALSE
02,08,d,84.0,0.4,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,4.442651256490317,FALSE
02,09,d,64.0,0.4740740740740741,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,4.174387269895637,FALSE
02,10,d,90.0,0.42452830188679247,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,4.51085950651685,FALSE
02,11,d,102.0,0.4744186046511628,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,4.634728988229636,FALSE
02,12,d,52.0,0.25742574257425743,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,3.970291913552122,FALSE
02,13,d,16.0,0.10810810810810811,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,2.833213344056216,FALSE
02,14,d,66.0,0.38372093023255816,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,4.204692619390966,FALSE
02,15,d,97.0,0.31290322580645163,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,4.584967478670572,FALSE
02,16,d,89.0,0.326007326007326,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,4.499809670330265,FALSE
02,17,d,60.0,0.2777777777777778,M,Masters Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,5,33,22,116.4,4.110873864173311,FALSE
03,06,d,23.0,0.42592592592592593,M,Bachelors Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,4,32,21,108.5,3.1780538303479458,FALSE
03,07,d,55.0,0.4074074074074074,M,Bachelors Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,4,32,21,108.5,4.02535169073515,FALSE
03,08,d,94.0,0.4973544973544973,M,Bachelors Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,4,32,21,108.5,4.553876891600541,FALSE
03,09,d,147.0,0.4819672131147541,M,Bachelors Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,4,32,21,108.5,4.997212273764115,FALSE
03,10,d,176.0,0.4489795918367347,M,Bachelors Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,4,32,21,108.5,5.176149732573829,FALSE
03,11,d,87.0,0.5403726708074534,M,Bachelors Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,4,32,21,108.5,4.477336814478207,FALSE
03,12,d,60.0,0.47619047619047616,M,Bachelors Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,4,32,21,108.5,4.110873864173311,FALSE
03,13,d,69.0,0.696969696969697,M,Bachelors Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,4,32,21,108.5,4.248495242049359,FALSE
03,14,d,70.0,0.5035971223021583,M,Bachelors Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,4,32,21,108.5,4.2626798770413155,FALSE
03,15,d,48.0,0.34532374100719426,M,Bachelors Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,4,32,21,108.5,3.8918202981106265,FALSE
03,16,d,136.0,0.4503311258278146,M,Bachelors Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,4,32,21,108.5,4.919980925828125,FALSE
03,17,d,61.0,0.5446428571428571,M,Bachelors Degree,Home,0,Full-time,40,1.0,1.0,Y,One,One,4,32,21,108.5,4.127134385045092,FALSE
04,06,d,31.0,0.40789473684210525,M,Some college,Home,0,Full-time,40,4.0,4.0,Y,2+,Four,2,35,25,117.2,3.4657359027997265,FALSE
04,07,d,11.0,0.10091743119266056,M,Some college,Home,0,Full-time,40,4.0,4.0,Y,2+,Four,2,35,25,117.2,2.4849066497880004,FALSE
04,08,d,42.0,0.49411764705882355,M,Some college,Home,0,Full-time,40,4.0,4.0,Y,2+,Four,2,35,25,117.2,3.7612001156935624,FALSE
04,09,d,23.0,0.15862068965517243,M,Some college,Home,0,Full-time,40,4.0,4.0,Y,2+,Four,2,35,25,117.2,3.1780538303479458,FALSE
04,10,d,49.0,0.4188034188034188,M,Some college,Home,0,Full-time,40,4.0,4.0,Y,2+,Four,2,35,25,117.2,3.912023005428146,FALSE
04,11,d,73.0,0.44785276073619634,M,Some college,Home,0,Full-time,40,4.0,4.0,Y,2+,Four,2,35,25,117.2,4.30406509320417,FALSE
04,12,d,59.0,0.472,M,Some college,Home,0,Full-time,40,4.0,4.0,Y,2+,Four,2,35,25,117.2,4.0943445622221,FALSE
04,13,d,48.0,0.23645320197044334,M,Some college,Home,0,Full-time,40,4.0,4.0,Y,2+,Four,2,35,25,117.2,3.8918202981106265,FALSE
04,14,d,78.0,0.5492957746478874,M,Some college,Home,0,Full-time,40,4.0,4.0,Y,2+,Four,2,35,25,117.2,4.3694478524670215,FALSE
04,15,d,36.0,0.26277372262773724,M,Some college,Home,0,Full-time,40,4.0,4.0,Y,2+,Four,2,35,25,117.2,3.6109179126442243,FALSE
04,16,d,30.0,0.3225806451612903,M,Some college,Home,0,Full-time,40,4.0,4.0,Y,2+,Four,2,35,25,117.2,3.4339872044851463,FALSE
04,17,d,89.0,0.31338028169014087,M,Some college,Home,0,Full-time,40,4.0,4.0,Y,2+,Four,2,35,25,117.2,4.499809670330265,FALSE
06,06,d,28.0,0.29473684210526313,F,Masters Degree,Full-time,40,Full-time,40,1.0,0.0,N,None,None,5,33,22,120.4,3.367295829986474,FALSE
06,07,d,59.0,0.295,F,Masters Degree,Full-time,40,Full-time,40,1.0,0.0,N,None,None,5,33,22,120.4,4.0943445622221,FALSE
06,08,d,83.0,0.36086956521739133,F,Masters Degree,Full-time,40,Full-time,40,1.0,0.0,N,None,None,5,33,22,120.4,4.430816798843313,FALSE
06,09,d,38.0,0.33043478260869563,F,Masters Degree,Full-time,40,Full-time,40,1.0,0.0,N,None,None,5,33,22,120.4,3.6635616461296463,FALSE
06,10,d,80.0,0.6504065040650406,F,Masters Degree,Full-time,40,Full-time,40,1.0,0.0,N,None,None,5,33,22,120.4,4.394449154672439,FALSE
06,11,d,64.0,0.34782608695652173,F,Masters Degree,Full-time,40,Full-time,40,1.0,0.0,N,None,None,5,33,22,120.4,4.174387269895637,FALSE
06,12,d,41.0,0.3504273504273504,F,Masters Degree,Full-time,40,Full-time,40,1.0,0.0,N,None,None,5,33,22,120.4,3.7376696182833684,FALSE
06,13,d,85.0,0.31954887218045114,F,Masters Degree,Full-time,40,Full-time,40,1.0,0.0,N,None,None,5,33,22,120.4,4.454347296253507,FALSE
06,14,d,62.0,0.36257309941520466,F,Masters Degree,Full-time,40,Full-time,40,1.0,0.0,N,None,None,5,33,22,120.4,4.143134726391533,FALSE
06,15,d,53.0,0.23766816143497757,F,Masters Degree,Full-time,40,Full-time,40,1.0,0.0,N,None,None,5,33,22,120.4,3.9889840465642745,FALSE
06,16,d,46.0,0.2967741935483871,F,Masters Degree,Full-time,40,Full-time,40,1.0,0.0,N,None,None,5,33,22,120.4,3.8501476017100584,FALSE
06,17,d,82.0,0.26031746031746034,F,Masters Degree,Full-time,40,Full-time,40,1.0,0.0,N,None,None,5,33,22,120.4,4.418840607796598,FALSE
07,06,d,89.0,0.4972067039106145,M,Masters Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,5,30,22,114.4,4.499809670330265,FALSE
07,07,d,37.0,0.3978494623655914,M,Masters Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,5,30,22,114.4,3.6375861597263857,FALSE
07,08,d,89.0,0.5426829268292683,M,Masters Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,5,30,22,114.4,4.499809670330265,FALSE
07,09,d,55.0,0.6043956043956044,M,Masters Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,5,30,22,114.4,4.02535169073515,FALSE
07,10,d,76.0,0.3671497584541063,M,Masters Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,5,30,22,114.4,4.343805421853684,FALSE
07,11,d,33.0,0.3626373626373626,M,Masters Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,5,30,22,114.4,3.5263605246161616,FALSE
07,12,d,43.0,0.3049645390070922,M,Masters Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,5,30,22,114.4,3.784189633918261,FALSE
07,13,d,75.0,0.5208333333333334,M,Masters Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,5,30,22,114.4,4.330733340286331,FALSE
07,14,d,40.0,0.3305785123966942,M,Masters Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,5,30,22,114.4,3.713572066704308,FALSE
07,15,d,114.0,0.5,M,Masters Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,5,30,22,114.4,4.74493212836325,FALSE
07,16,d,100.0,0.5405405405405406,M,Masters Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,5,30,22,114.4,4.61512051684126,FALSE
07,17,d,90.0,0.32142857142857145,M,Masters Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,5,30,22,114.4,4.51085950651685,FALSE
08,06,d,24.0,0.4897959183673469,F,Masters Degree,Full-time,40,Other,NA,0.0,0.0,N,None,None,5,32,22,118.6,3.2188758248682006,FALSE
08,07,d,26.0,0.43333333333333335,F,Masters Degree,Full-time,40,Other,NA,0.0,0.0,N,None,None,5,32,22,118.6,3.295836866004329,FALSE
08,08,d,62.0,0.5299145299145299,F,Masters Degree,Full-time,40,Other,NA,0.0,0.0,N,None,None,5,32,22,118.6,4.143134726391533,FALSE
08,09,d,43.0,0.581081081081081,F,Masters Degree,Full-time,40,Other,NA,0.0,0.0,N,None,None,5,32,22,118.6,3.784189633918261,FALSE
08,10,d,35.0,0.3888888888888889,F,Masters Degree,Full-time,40,Other,NA,0.0,0.0,N,None,None,5,32,22,118.6,3.58351893845611,FALSE
08,11,d,40.0,0.22988505747126436,F,Masters Degree,Full-time,40,Other,NA,0.0,0.0,N,None,None,5,32,22,118.6,3.713572066704308,FALSE
08,12,d,58.0,0.20714285714285716,F,Masters Degree,Full-time,40,Other,NA,0.0,0.0,N,None,None,5,32,22,118.6,4.07753744390572,FALSE
08,13,d,55.0,0.2864583333333333,F,Masters Degree,Full-time,40,Other,NA,0.0,0.0,N,None,None,5,32,22,118.6,4.02535169073515,FALSE
08,14,d,49.0,0.34265734265734266,F,Masters Degree,Full-time,40,Other,NA,0.0,0.0,N,None,None,5,32,22,118.6,3.912023005428146,FALSE
08,15,d,59.0,0.4244604316546763,F,Masters Degree,Full-time,40,Other,NA,0.0,0.0,N,None,None,5,32,22,118.6,4.0943445622221,FALSE
08,16,d,70.0,0.18041237113402062,F,Masters Degree,Full-time,40,Other,NA,0.0,0.0,N,None,None,5,32,22,118.6,4.2626798770413155,FALSE
08,17,d,75.0,0.5357142857142857,F,Masters Degree,Full-time,40,Other,NA,0.0,0.0,N,None,None,5,32,22,118.6,4.330733340286331,FALSE
09,06,d,12.0,0.24489795918367346,M,Bachelors Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,4,34,21,110.9,2.5649493574615367,FALSE
09,07,d,19.0,0.3114754098360656,M,Bachelors Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,4,34,21,110.9,2.995732273553991,FALSE
09,08,d,17.0,0.26153846153846155,M,Bachelors Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,4,34,21,110.9,2.8903717578961645,FALSE
09,09,d,47.0,0.26857142857142857,M,Bachelors Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,4,34,21,110.9,3.871201010907891,FALSE
09,10,d,14.0,0.27450980392156865,M,Bachelors Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,4,34,21,110.9,2.70805020110221,FALSE
09,11,d,4.0,0.10810810810810811,M,Bachelors Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,4,34,21,110.9,1.6094379124341003,FALSE
09,12,d,49.0,0.20416666666666666,M,Bachelors Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,4,34,21,110.9,3.912023005428146,FALSE
09,13,d,69.0,0.518796992481203,M,Bachelors Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,4,34,21,110.9,4.248495242049359,FALSE
09,14,d,57.0,0.38513513513513514,M,Bachelors Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,4,34,21,110.9,4.060443010546419,FALSE
09,17,d,120.0,0.48,M,Bachelors Degree,Full-time,40,Full-time,40,0.0,0.0,N,None,None,4,34,21,110.9,4.795790545596741,FALSE
10,06,d,88.0,0.546583850931677,F,Doctorate,Part-time,24,Full-time,60,1.0,1.0,Y,One,One,6,32,24,112.8,4.48863636973214,FALSE
10,07,d,59.0,0.6020408163265306,F,Doctorate,Part-time,24,Full-time,60,1.0,1.0,Y,One,One,6,32,24,112.8,4.0943445622221,FALSE
10,08,d,56.0,0.5185185185185185,F,Doctorate,Part-time,24,Full-time,60,1.0,1.0,Y,One,One,6,32,24,112.8,4.04305126783455,FALSE
10,09,d,86.0,0.3944954128440367,F,Doctorate,Part-time,24,Full-time,60,1.0,1.0,Y,One,One,6,32,24,112.8,4.465908118654584,FALSE
10,10,d,135.0,0.4787234042553192,F,Doctorate,Part-time,24,Full-time,60,1.0,1.0,Y,One,One,6,32,24,112.8,4.912654885736052,FALSE
10,11,d,98.0,0.49,F,Doctorate,Part-time,24,Full-time,60,1.0,1.0,Y,One,One,6,32,24,112.8,4.59511985013459,FALSE
10,12,d,134.0,0.5056603773584906,F,Doctorate,Part-time,24,Full-time,60,1.0,1.0,Y,One,One,6,32,24,112.8,4.90527477843843,FALSE
10,13,d,56.0,0.47058823529411764,F,Doctorate,Part-time,24,Full-time,60,1.0,1.0,Y,One,One,6,32,24,112.8,4.04305126783455,FALSE
10,14,d,58.0,0.22393822393822393,F,Doctorate,Part-time,24,Full-time,60,1.0,1.0,Y,One,One,6,32,24,112.8,4.07753744390572,FALSE
10,15,d,119.0,0.519650655021834,F,Doctorate,Part-time,24,Full-time,60,1.0,1.0,Y,One,One,6,32,24,112.8,4.787491742782046,FALSE
10,16,d,115.0,0.4078014184397163,F,Doctorate,Part-time,24,Full-time,60,1.0,1.0,Y,One,One,6,32,24,112.8,4.7535901911063645,FALSE
10,17,d,61.0,0.3836477987421384,F,Doctorate,Part-time,24,Full-time,60,1.0,1.0,Y,One,One,6,32,24,112.8,4.127134385045092,FALSE
11,06,d,133.0,0.4249201277955272,M,Masters Degree,Full-time,30,Full-time,40,0.0,0.0,N,None,None,5,31,22,116.1,4.897839799950911,FALSE
11,07,d,133.0,0.39002932551319647,M,Masters Degree,Full-time,30,Full-time,40,0.0,0.0,N,None,None,5,31,22,116.1,4.897839799950911,FALSE
11,08,d,108.0,0.40298507462686567,M,Masters Degree,Full-time,30,Full-time,40,0.0,0.0,N,None,None,5,31,22,116.1,4.6913478822291435,FALSE
11,09,d,129.0,0.6084905660377359,M,Masters Degree,Full-time,30,Full-time,40,0.0,0.0,N,None,None,5,31,22,116.1,4.867534450455582,FALSE
11,10,d,96.0,0.45714285714285713,M,Masters Degree,Full-time,30,Full-time,40,0.0,0.0,N,None,None,5,31,22,116.1,4.574710978503383,FALSE
11,11,d,76.0,0.5507246376811594,M,Masters Degree,Full-time,30,Full-time,40,0.0,0.0,N,None,None,5,31,22,116.1,4.343805421853684,FALSE
11,12,d,128.0,0.4904214559386973,M,Masters Degree,Full-time,30,Full-time,40,0.0,0.0,N,None,None,5,31,22,116.1,4.859812404361672,FALSE
11,13,d,63.0,0.5779816513761468,M,Masters Degree,Full-time,30,Full-time,40,0.0,0.0,N,None,None,5,31,22,116.1,4.1588830833596715,FALSE
11,14,d,91.0,0.3192982456140351,M,Masters Degree,Full-time,30,Full-time,40,0.0,0.0,N,None,None,5,31,22,116.1,4.5217885770490405,FALSE
11,15,d,96.0,0.2865671641791045,M,Masters Degree,Full-time,30,Full-time,40,0.0,0.0,N,None,None,5,31,22,116.1,4.574710978503383,FALSE
