utterance_type,speaker,object_present,basic_level,subj,month,in_cdi
d,MOT,y,little+blue+truck,794,06,NA
r,MOT,y,blue,794,06,NA
r,MOT,y,blue,794,06,NA
r,MOT,n,blue,794,06,NA
q,MOT,n,back,294,06,NA
q,MOT,y,back,294,06,NA
q,MOT,n,dynamite,255,06,NA
d,MOT,n,back,357,06,NA
d,MOT,n,back,357,06,NA
d,MOT,y,go+dog+go,357,06,NA
d,MOT,y,go+dog+go,357,06,NA
d,MOT,y,go+dog+go,357,06,NA
r,MOT,y,i,309,06,NA
s,TV,y,babboon,749,06,NA
r,MOT,y,back,749,06,NA
r,MOT,y,blue,749,06,NA
r,MOT,y,blue,749,06,NA
r,MOT,y,blue,749,06,NA
r,MOT,y,blue,749,06,NA
r,MOT,y,blue,749,06,NA
r,MOT,y,blue,749,06,NA
r,MOT,y,blue,749,06,NA
r,MOT,y,i,749,06,NA
r,MOT,y,i,749,06,NA
r,MOT,y,i,749,06,NA
r,MOT,y,i,749,06,NA
r,MOT,y,i,749,06,NA
r,MOT,y,i,749,06,NA
s,TV,y,i,749,06,NA
r,MOT,y,blue,749,06,NA
d,MOT,y,little+blue+truck,749,06,NA
r,MOT,y,quacker+oo,749,06,NA
d,MOT,y,daddy+and+me,378,06,NA
d,MOT,y,grandma+and+me,378,06,NA
d,MOT,y,grandpa+and+me,378,06,NA
d,MOT,y,what+does+baby+say,378,06,NA
d,MOT,y,where+is+babys+mommy,378,06,NA
d,MOT,y,where+is+babys+mommy,378,06,NA
d,MOT,y,back,268,06,NA
r,MOT,y,back,268,06,NA
r,MOT,n,i,268,06,NA
r,MOT,n,i,268,06,NA
r,MOT,n,i,268,06,NA
r,MOT,y,i,268,06,NA
r,MOT,y,i,268,06,NA
r,MOT,y,i,268,06,NA
r,MOT,y,quacker+oo,268,06,NA
r,MOT,n,verna+vera+vin,268,06,NA
q,MOT,y,baby+signs,189,06,NA
q,MOT,y,baby+signs,189,06,NA
d,MOT,n,night+night+peter+rabbit,189,06,NA
d,MOT,n,night+night+peter+rabbit,189,06,NA
d,MOT,n,night+night+peter+rabbit,189,06,NA
d,MOT,n,back,375,06,NA
d,MOT,n,back,375,06,NA
d,MOT,n,lion+tiger,375,06,NA
d,MOT,y,baby+animals,738,06,NA
q,MOT,y,baby+animals,738,06,NA
d,MOT,y,teddies,738,06,NA
d,MOT,y,apple+farmer+annie,639,06,NA
d,MOT,y,go+dog+go,639,06,NA
d,MOT,y,what+is+your+dog+doing,639,06,NA
i,MOT,n,na,168,06,NA
d,SIBLING,y,yummy,737,06,NA
q,MOT,n,yummy,737,06,NA
q,MOT,y,yummy,737,06,NA
d,MOT,y,sophie+girl,518,06,NA
q,MOT,y,drill+bit,794,07,NA
d,MOT,y,noisy+train,126,07,NA
r,MOT,y,blue,465,07,NA
r,MOT,y,blue,465,07,NA
r,MOT,y,blue,465,07,NA
r,MOT,y,blue,465,07,NA
r,MOT,y,blue,465,07,NA
r,MOT,y,blue,465,07,NA
r,MOT,y,blue,465,07,NA
r,MOT,y,blue,465,07,NA
n,MOT,y,little+blue+truck,465,07,NA
q,MOT,y,baby+shawn,309,07,NA
n,MOT,y,baby+shawn,309,07,NA
r,FAT,n,empanadas,309,07,NA
d,FAT,y,hand+hold,309,07,NA
q,MOT,y,spice,309,07,NA
d,FAT,y,spice,309,07,NA
d,MOT,y,spice,309,07,NA
q,MOT,y,the very+hungry+caterpillar,309,07,NA
r,MOT,y,blue,749,07,NA
r,MOT,y,blue,749,07,NA
r,MOT,y,blue,749,07,NA
r,MOT,y,blue,749,07,NA
r,MOT,y,blue,749,07,NA
r,MOT,y,blue,749,07,NA
r,MOT,y,blue,749,07,NA
r,MOT,y,blue,749,07,NA
d,MOT,n,brim,279,07,NA
d,MOT,y,brim,279,07,NA
n,SIBLING,n,i,279,07,NA
s,SIBLING,n,i,279,07,NA
s,SIBLING,n,i,279,07,NA
d,MOT,n,bananers,664,07,NA
n,MOT,y,buck,664,07,NA
d,MOT,y,peter+rabbit+snuggles,664,07,NA
d,MOT,y,peter+rabbit+snuggles,664,07,NA
i,TOY,n,saddle,664,07,NA
q,MOT,y,rack,664,07,NA
d,MOT,n,back,129,07,NA
d,MOT,y,back,378,07,NA
r,MOT,y,i,378,07,NA
d,FAT,y,back,109,07,NA
q,MOT,n,back,625,07,NA
q,MOT,n,back,625,07,NA
n,MOT,y,stationery,926,07,NA
d,MOT,n,steaks,926,07,NA
q,MOT,n,the+very+best+daddy+of+all,738,07,NA
i,MOT,y,hock,639,07,NA
d,MOT,y,what+is+your+dog+doing,639,07,NA
d,MOT,y,willies+pictures,639,07,NA
d,MOT,y,willies+pictures,639,07,NA
q,MOT,n,mustard,168,07,NA
q,MOT,n,mustard,168,07,NA
d,MOT,y,sneaky,168,07,NA
d,SIBLING,n,sneaky,168,07,NA
d,SIBLING,n,sneaky,168,07,NA
d,SIBLING,n,sneaky,168,07,NA
d,SIBLING,y,sneaky,168,07,NA
q,MOT,n,sneaky,168,07,NA
d,SIBLING,n,sneaky,168,07,NA
q,MOT,y,sneaky,168,07,NA
d,SIBLING,n,sneaky,168,07,NA
d,SIBLING,n,wendy+washer,168,07,NA
q,MOT,n,wendy+washer,168,07,NA
i,MOT,y,limb,151,07,NA
s,MOT,n,blue,424,07,NA
s,MOT,n,little+blue+truck,424,07,NA
q,MOT,y,little+blue+truck,424,07,NA
