utterance_type,speaker,object_present,basic_level,subj,month,in_cdi
d,MOT,y,little+blue+truck,794,06,NA
r,MOT,y,blue,794,06,NA
q,MOT,n,back,294,06,NA
q,MOT,n,dynamite,255,06,NA
d,MOT,y,go+dog+go,357,06,NA
r,MOT,y,i,309,06,NA
r,MOT,y,quacker+oo,749,06,NA
d,MOT,y,what+does+baby+say,378,06,NA
d,MOT,y,where+is+babys+mommy,378,06,NA
d,MOT,y,daddy+and+me,378,06,NA
d,MOT,y,grandma+and+me,378,06,NA
d,MOT,y,grandpa+and+me,378,06,NA
r,MOT,n,verna+vera+vin,268,06,NA
q,MOT,y,baby+signs,189,06,NA
d,MOT,n,night+night+peter+rabbit,189,06,NA
d,MOT,n,lion+tiger,375,06,NA
d,MOT,y,baby+animals,738,06,NA
d,MOT,y,teddies,738,06,NA
d,MOT,y,apple+farmer+annie,639,06,NA
d,MOT,y,what+is+your+dog+doing,639,06,NA
d,SIBLING,y,yummy,737,06,NA
d,MOT,y,sophie+girl,518,06,NA
q,MOT,y,drill+bit,794,07,NA
d,MOT,y,noisy+train,126,07,NA
q,MOT,y,baby+shawn,309,07,NA
q,MOT,y,the very+hungry+caterpillar,309,07,NA
d,FAT,y,hand+hold,309,07,NA
q,MOT,y,spice,309,07,NA
r,FAT,n,empanadas,309,07,NA
d,MOT,n,brim,279,07,NA
d,MOT,n,bananers,664,07,NA
q,MOT,y,rack,664,07,NA
n,MOT,y,buck,664,07,NA
d,MOT,y,peter+rabbit+snuggles,664,07,NA
n,MOT,y,stationery,926,07,NA
d,MOT,n,steaks,926,07,NA
q,MOT,n,the+very+best+daddy+of+all,738,07,NA
d,MOT,y,willies+pictures,639,07,NA
i,MOT,y,hock,639,07,NA
q,MOT,y,sneaky,168,07,NA
q,MOT,n,mustard,168,07,NA
d,SIBLING,n,wendy+washer,168,07,NA
i,MOT,y,limb,151,07,NA
q,MOT,n,drum+kit,950,07,NA
r,MOT,n,tock,794,08,NA
d,MOT,y,hidden+pictures,794,08,NA
d,MOT,y,choo+choo,794,08,NA
d,SIBLING,n,sunflower,294,08,NA
d,MOT,n,pete+the+cat,294,08,NA
i,MOT,n,asteroid,294,08,NA
d,MOT,n,meteor,294,08,NA
d,MOT,y,peek+a+boo+forest,294,08,NA
d,MOT,n,c+d,465,08,NA
d,MOT,n,earwax,465,08,NA
q,FAT,y,squish,521,08,NA
d,SIBLING,n,beatbo+robot,828,08,NA
d,FAT,n,cough+drops,309,08,NA
d,FAT,n,bagpipes,309,08,NA
n,FAT,y,chicken+squash,309,08,NA
q,SIBLING,n,roll+up,623,08,NA
d,MOT,n,whip,279,08,NA
n,MOT,y,mcdonald,664,08,NA
r,MOT,y,the+rainforest+tails,664,08,NA
d,MOT,y,five+little+monkeys,664,08,NA
d,FAT,n,varnish,109,08,NA
q,MOT,n,wipey,172,08,NA
d,MOT,n,suspenders,189,08,NA
d,MOT,y,hairdresser,926,08,NA
d,MOT,y,rock+star,926,08,NA
d,MOT,y,karate+instructor,926,08,NA
q,FAT,y,buddy+holly,515,08,NA
q,MOT,n,elmo+makes+music+book,738,08,NA
r,MOT,y,pets,738,08,NA
q,MOT,y,spots+toys,738,08,NA
d,MOT,y,whos+in+the+jungle,168,08,NA
d,MOT,y,cookie+monsters+good+time+to+eat,737,08,NA
d,MOT,n,bubble+machine,950,08,NA
d,MOT,y,i+am+a+puppy,950,08,NA
s,MOT,n,walls,294,09,NA
n,MOT,n,axe,126,09,NA
i,MOT,n,video,255,09,NA
d,MOT,y,rice+rusks,357,09,NA
d,MOT,n,husk,357,09,NA
d,MOT,y,steam,309,09,NA
d,MOT,n,squeezy,623,09,NA
r,MOT,y,one+two+three+count+with+me,279,09,NA
r,MOT,n,larvae,279,09,NA
r,MOT,n,beeswax,279,09,NA
q,MOT,y,pictures,129,09,NA
q,MOT,y,c+d+player,129,09,NA
d,MOT,n,human,129,09,NA
d,MOT,y,spread,129,09,NA
r,MOT,y,da+da,268,09,NA
d,MOT,y,game,172,09,NA
q,MOT,y,chubo,189,09,NA
n,MOT,n,swim+trunks,986,09,NA
d,MOT,y,this+little+piggy,986,09,NA
q,MOT,n,toolset,986,09,NA
q,MOT,n,bagels,861,09,NA
n,MOT,n,cheese+steak,926,09,NA
d,FAT,n,visor,944,09,NA
d,FAT,y,shapes,515,09,NA
d,FAT,y,toys,515,09,NA
d,FAT,y,bowtie,515,09,NA
n,MOT,n,barney+bear,375,09,NA
d,MOT,n,canned+air,375,09,NA
d,MOT,y,wristbands,375,09,NA
d,MOT,n,water+park,375,09,NA
r,MOT,y,on+the+road,738,09,NA
r,MOT,y,lights,738,09,NA
r,MOT,y,saratoga+springs,738,09,NA
d,MOT,y,chubby+roll,737,09,NA
q,MOT,y,tape+measure,737,09,NA
d,MOT,n,appendix,518,09,NA
q,MOT,y,drink,950,09,NA
d,MOT,n,planet+mars,563,09,NA
d,FAT,n,metal,294,10,NA
d,MOT,y,thats+not+my+puppy,294,10,NA
d,MOT,n,electronic,255,10,NA
d,MOT,n,d+v+d+holder,255,10,NA
d,MOT,n,plantronics,255,10,NA
q,MOT,y,rain+stick,357,10,NA
d,SIBLING,n,vulture,828,10,NA
q,MOT,n,bolt,828,10,NA
d,MOT,n,germ,828,10,NA
n,FAT,n,tabbouleh,309,10,NA
r,MOT,y,skates,749,10,NA
r,MOT,y,room,749,10,NA
