basic_level,CDIform,in_cdi
little+blue+truck,NA,
blue,NA,
back,NA,
dynamite,NA,
go+dog+go,NA,
i,NA,
quacker+oo,NA,
what+does+baby+say,NA,
where+is+babys+mommy,NA,
daddy+and+me,NA,
grandma+and+me,NA,
grandpa+and+me,NA,
verna+vera+vin,NA,
baby+signs,NA,
night+night+peter+rabbit,NA,
lion+tiger,tiger,
baby+animals,NA,
teddies,teddybear,
apple+farmer+annie,NA,
what+is+your+dog+doing,NA,
yummy,NA,
sophie+girl,NA,
drill+bit,NA,
noisy+train,train,
baby+shawn,baby,
the very+hungry+caterpillar,NA,
hand+hold,hand,
spice,NA,
empanadas,NA,
brim,NA,
bananers,banana,
rack,NA,
buck,NA,
peter+rabbit+snuggles,NA,
stationery,NA,
steaks,NA,
the+very+best+daddy+of+all,NA,
willies+pictures,picture,
hock,NA,
sneaky,NA,
mustard,NA,
wendy+washer,NA,
limb,NA,
drum+kit,NA,
tock,NA,
hidden+pictures,picture,
choo+choo,NA,
sunflower,NA,
pete+the+cat,cat,
asteroid,NA,
meteor,NA,
peek+a+boo+forest,NA,
c+d,NA,
earwax,NA,
squish,NA,
beatbo+robot,NA,
cough+drops,NA,
bagpipes,NA,
chicken+squash,chicken,
roll+up,NA,
whip,NA,
mcdonald,NA,
the+rainforest+tails,NA,
five+little+monkeys,NA,
varnish,NA,
wipey,NA,
suspenders,NA,
hairdresser,NA,
rock+star,NA,
karate+instructor,NA,
buddy+holly,NA,
elmo+makes+music+book,NA,
pets,NA,
spots+toys,NA,
whos+in+the+jungle,NA,
cookie+monsters+good+time+to+eat,NA,
bubble+machine,NA,
i+am+a+puppy,NA,
walls,NA,
axe,NA,
video,NA,
rice+rusks,NA,
husk,NA,
steam,NA,
squeezy,NA,
one+two+three+count+with+me,NA,
larvae,NA,
beeswax,NA,
pictures,picture,
c+d+player,NA,
human,NA,
spread,NA,
da+da,NA,
game,NA,
chubo,NA,
swim+trunks,NA,
this+little+piggy,NA,
toolset,NA,
bagels,NA,
cheese+steak,cheese,
visor,NA,
shapes,NA,
toys,toy,
bowtie,NA,
barney+bear,bear,
canned+air,NA,
wristbands,NA,
water+park,park,
on+the+road,NA,
lights,light,
saratoga+springs,NA,
chubby+roll,NA,
tape+measure,NA,
appendix,NA,
drink,NA,
planet+mars,NA,
metal,NA,
thats+not+my+puppy,NA,
electronic,NA,
d+v+d+holder,NA,
plantronics,NA,
rain+stick,NA,
vulture,NA,
bolt,NA,
germ,NA,
tabbouleh,NA,
skates,NA,
room,NA,
lightning,NA,
neighborhood+animals,NA,
ice+cream+man,icecream,
eyestalk,NA,
tissue+box,box,
cloths,NA,
olli,NA,
thomas+the+engine,NA,
playset,NA,
plastic,NA,
mickey+mouse,mouse,
mickey+mouse+clubhouse,house,
thats+not+my+monkey,NA,
down,NA,
mr+glowy+face,NA,
bubbles,bubbles,
pieces,NA,
mest,NA,
ford+harvester,NA,
baby+faces,face,
skateboarder,NA,
stories,NA,
berry+banana+beet,NA,
dracula,NA,
cruella+de+vil,NA,
poops,NA,
roar+roar+baby,NA,
splish+splash+baby,baby,
trex,NA,
see+saw,NA,
air+conditioner,NA,
town,NA,
pedal,NA,
roll,NA,
hash+brown,NA,
windbreaker,NA,
p+b+and+j,NA,
go+train+go,train,
gerbil,NA,
grandma,NA,
land,NA,
daddy+long+leg,NA,
eggplant+parmesan,NA,
copier,NA,
fish+bowl,fish,
costume,NA,
sneakers,NA,
leaves,NA,
jack+o+lanterns,NA,
t+shirt,shirt,
leather,NA,
store,NA,
stuffed+peppers,NA,
cutter,NA,
mixer,NA,
clip+board,NA,
zingo,NA,
game+board,NA,
edward,NA,
gadget,NA,
chew+toy,toy,
b+b+eight,NA,
knight,NA,
qui+gon+jinn,NA,
mustache+baby,baby,
baby+billy,baby,
lawnmower,NA,
night+night+elmo,NA,
gas+can,NA,
headwear,NA,
flower+bulbs,flower,
rain+rain+go+away,rain,
d+v+d,NA,
cheez+its,NA,
not+my+monkey,NA,
are+you+a+cow,NA,
sophies+busy+day,NA,
quack+quack,NA,
paris,NA,
caramel,NA,
coconut,NA,
crabmeat,NA,
the+fire+engine,firetruck,
the+first+one+hundred+words,NA,
pinkie,NA,
hi+hat,hat,
cinnamon+sweet+potato,NA,
zoes+first+book+of+seasons,NA,
cheese+balls,cheese,
base,NA,
craisin,NA,
lobster,NA,
eyeshadow,NA,
lunch+box,box,
penne,NA,
vise,NA,
fanny,NA,
rapini,NA,
seltzer,NA,
monterey+jack,NA,
swiss,NA,
three+blind+mice+and+the+christmas+surprise,NA,
pepper+mill,NA,
pediasure,NA,
millennium+pigeon,NA,
slime,NA,
theater,NA,
trap,NA,
little+blue+train,NA,
carrier,NA,
ten+little+gingerbread+men,NA,
styracosaurus,NA,
tyrannosaurus,NA,
brachiosaurus,NA,
headrest,NA,
daddy,NA,
baby+peekaboo,NA,
oscar+oscar,NA,
toilet+paper+roll,NA,
squeezable,NA,
undershirt,shirt,
lace,NA,
seaside,NA,
vacuum+cleaner,vacuum,
highchar,highchair,
brace,NA,
reciner,NA,
collards,NA,
food+processor,NA,
olive+oil,NA,
starbucks,NA,
compost,NA,
rhubarb,NA,
poop,NA,
salt+shaker,NA,
dancing+douglas,NA,
sleepy,NA,
happy,NA,
gothel,NA,
peekaboo+farm,NA,
walkway,NA,
stoop,NA,
salads,NA,
hockey+player,NA,
goalie,NA,
person,NA,
sitar,NA,
restaurant,NA,
legs,leg,
peek+a+boo+jungle,NA,
movie+theater,NA,
super+baby,baby,
grains,NA,
im+a+baby,baby,
lips,NA,
lemon+drop,NA,
listerine,NA,
cheerleader,NA,
sophie+peekaboo,NA,
mr+bump,NA,
paprika,NA,
kimchi,NA,
chicken+broth,chicken,
herbs,NA,
baby+play+time,baby,
anchorman,NA,
peek+a+boo+dinosaur,NA,
raccoon+who+liked+to+munch,NA,
chopsticks,NA,
cannula,NA,
cannister,NA,
hashbrowns,NA,
buttermilk,NA,
baking+powder,NA,
baking+soda,NA,
cinnamon,NA,
peek+a+boo+who,NA,
chicks,chicken,
eight+silly+monkeys,monkey,
big,NA,
the+very+best+daddy,NA,
yummy+yucky,NA,
vroom+vroom,NA,
one+naked+baby,baby,
babys+busy+day,baby,
brother,NA,
sister,NA,
paw+patrol,NA,
baby+beluga,NA,
t+b+m+nine+hundred,NA,
baby+donald,NA,
pizzas,pizza,
tostitos,NA,
gravel,NA,
candy+land,candy,
granny,NA,
babys+first+words,NA,
equipment,NA,
soft+serve,NA,
bike+pump,bike,
sophie+pop+up+peek+a+boo,NA,
elmo+so+big,NA,
cat+in+the+hat,cat,
wegmans+pez+dispenser,NA,
sharpener,NA,
daniel+tiger+trolley,NA,
mickey+the+fireman,NA,
phonograph,NA,
woof+woof,NA,
